Image Index,Prediction,Actual,Correct
32,0,0,True
32,1,1,True
32,0,0,True
32,0,0,True
32,0,0,True
32,0,0,True
32,0,0,True
32,1,1,True
32,1,1,True
32,1,1,True
32,0,0,True
32,1,1,True
32,0,0,True
32,0,0,True
32,1,1,True
32,1,1,True
32,0,0,True
32,0,0,True
32,0,0,True
32,1,1,True
32,0,0,True
32,1,1,True
32,1,1,True
32,0,0,True
32,1,1,True
32,1,1,True
32,0,0,True
32,1,1,True
32,0,0,True
32,0,0,True
32,0,0,True
32,1,1,True
64,1,1,True
64,0,0,True
64,1,1,True
64,0,0,True
64,0,0,True
64,0,0,True
64,0,0,True
64,0,0,True
64,1,1,True
64,1,1,True
64,1,1,True
64,1,1,True
64,0,0,True
64,0,0,True
64,0,0,True
64,0,0,True
64,0,0,True
64,0,0,True
64,1,1,True
64,0,0,True
64,0,0,True
64,1,1,True
64,1,1,True
64,1,1,True
64,0,0,True
64,0,0,True
64,0,0,True
64,1,1,True
64,1,1,True
64,1,1,True
64,1,1,True
64,0,0,True
96,0,0,True
96,0,0,True
96,1,1,True
96,0,0,True
96,1,1,True
96,0,0,True
96,0,0,True
96,0,0,True
96,1,1,True
96,1,1,True
96,1,1,True
96,0,0,True
96,0,0,True
96,0,0,True
96,0,0,True
96,0,0,True
96,0,0,True
96,1,1,True
96,1,1,True
96,0,0,True
96,0,0,True
96,1,1,True
96,0,0,True
96,1,1,True
96,1,1,True
96,0,0,True
96,1,1,True
96,0,0,True
96,1,1,True
96,0,0,True
96,0,0,True
96,0,0,True
128,0,0,True
128,0,0,True
128,1,1,True
128,0,0,True
128,1,1,True
128,0,0,True
128,1,1,True
128,1,1,True
128,0,0,True
128,0,0,True
128,0,0,True
128,1,1,True
128,0,0,True
128,0,0,True
128,0,0,True
128,1,1,True
128,0,0,True
128,1,1,True
128,1,1,True
128,0,0,True
128,0,0,True
128,0,0,True
128,0,0,True
128,1,1,True
128,0,0,True
128,0,0,True
128,1,1,True
128,1,1,True
128,0,0,True
128,0,0,True
128,1,1,True
128,0,0,True
160,0,0,True
160,0,0,True
160,1,1,True
160,1,1,True
160,0,0,True
160,1,1,True
160,0,0,True
160,1,1,True
160,1,1,True
160,0,0,True
160,1,1,True
160,1,1,True
160,0,0,True
160,0,0,True
160,1,1,True
160,1,1,True
160,0,0,True
160,1,1,True
160,1,1,True
160,0,0,True
160,0,0,True
160,1,1,True
160,0,0,True
160,0,0,True
160,1,1,True
160,0,0,True
160,1,1,True
160,1,1,True
160,0,0,True
160,1,1,True
160,1,1,True
160,0,0,True
192,1,1,True
192,1,1,True
192,0,0,True
192,0,0,True
192,0,0,True
192,0,0,True
192,0,0,True
192,1,1,True
192,0,0,True
192,1,1,True
192,0,0,True
192,1,1,True
192,0,0,True
192,1,1,True
192,1,0,False
192,0,0,True
192,0,0,True
192,0,0,True
192,0,0,True
192,0,0,True
192,0,0,True
192,1,1,True
192,0,0,True
192,0,0,True
192,0,0,True
192,1,1,True
192,0,0,True
192,1,1,True
192,1,1,True
192,0,0,True
192,1,1,True
192,0,0,True
200,0,0,True
200,0,0,True
200,1,1,True
200,1,1,True
200,1,1,True
200,0,0,True
200,0,0,True
200,0,0,True
Final Accuracy,0.995
Total Correct,199
Total Incorrect,1

Image Index,Prediction,Actual,Correct
25,1,1,True
25,1,0,False
25,1,0,False
25,1,1,True
25,1,0,False
25,1,1,True
25,1,1,True
25,1,0,False
25,1,1,True
25,1,1,True
25,1,0,False
25,1,1,True
25,1,0,False
25,1,1,True
25,1,1,True
25,1,0,False
25,1,0,False
25,1,0,False
25,1,0,False
25,1,1,True
25,1,0,False
25,1,1,True
25,1,1,True
25,1,1,True
25,1,1,True
Final Accuracy,0.56
Total Correct,14
Total Incorrect,11
