Epoch,Training Loss,Validation Accuracy
1,0.018628128834255003,1.0
2,0.0053915092448639694,1.0
3,0.0030384521558856677,1.0
4,0.004092779223154974,0.9956573233320174
5,0.0033087480922006913,1.0
6,0.0057532342778235206,0.9992104224240032
7,0.0024615001049017615,1.0
8,0.0021192899565696467,0.9984208448480063
9,0.00461072468863307,0.9996052112120016
10,0.0030610078671304713,0.9984208448480063
11,0.005014175834300698,0.9996052112120016
12,0.0008138974234032914,0.9992104224240032
13,0.0006710066078619476,0.9996052112120016
14,0.0037090211736755625,0.9996052112120016
15,0.0001399984868962135,1.0
