Epoch,Training Loss,Training Accuracy,Validation Loss,Validation Accuracy
1,0.6113917305722215,0.6705069124423964,0.43402633167082266,0.9032258064516129
2,0.3920286762000229,0.8594470046082949,0.26148061790773947,0.9193548387096774
3,0.2947160096212466,0.8870967741935484,0.24712459694954655,0.9193548387096774
4,0.2540803206269093,0.8824884792626728,0.22817071407072007,0.9193548387096774
5,0.20862032026739163,0.9147465437788018,0.22237117732724837,0.9112903225806451
6,0.16783784583966305,0.9377880184331797,0.21578718000842678,0.9274193548387096
7,0.17735907734127088,0.9354838709677419,0.18271218961285007,0.9112903225806451
8,0.1700275629621497,0.9354838709677419,0.21218829481832444,0.9112903225806451
9,0.13793311855210685,0.956221198156682,0.2327690153352676,0.9112903225806451
10,0.14607198096914775,0.9331797235023042,0.2021527857549729,0.8951612903225806
